startGMT;endGMT;steps;primaryActivityLevel;activityLevelConstant
2021-05-22T18:15:00.0;2021-05-22T18:30:00.0;255;sedentary;false
2021-05-22T18:30:00.0;2021-05-22T18:45:00.0;0;sedentary;true
2021-05-22T18:45:00.0;2021-05-22T19:00:00.0;0;sedentary;true
2021-05-22T19:00:00.0;2021-05-22T19:15:00.0;0;sedentary;true
2021-05-22T19:15:00.0;2021-05-22T19:30:00.0;0;sleeping;true
2021-05-22T19:30:00.0;2021-05-22T19:45:00.0;0;sleeping;true
2021-05-22T19:45:00.0;2021-05-22T20:00:00.0;0;sleeping;true
2021-05-22T20:00:00.0;2021-05-22T20:15:00.0;0;sleeping;true
2021-05-22T20:15:00.0;2021-05-22T20:30:00.0;0;sleeping;true
2021-05-22T20:30:00.0;2021-05-22T20:45:00.0;0;sleeping;true
2021-05-22T20:45:00.0;2021-05-22T21:00:00.0;0;sleeping;true
2021-05-22T21:00:00.0;2021-05-22T21:15:00.0;0;sleeping;true
2021-05-22T21:15:00.0;2021-05-22T21:30:00.0;0;sleeping;true
2021-05-22T21:30:00.0;2021-05-22T21:45:00.0;0;sleeping;true
2021-05-22T21:45:00.0;2021-05-22T22:00:00.0;0;sleeping;true
2021-05-22T22:00:00.0;2021-05-22T22:15:00.0;0;sleeping;true
2021-05-22T22:15:00.0;2021-05-22T22:30:00.0;0;sleeping;true
2021-05-22T22:30:00.0;2021-05-22T22:45:00.0;0;sleeping;true
2021-05-22T22:45:00.0;2021-05-22T23:00:00.0;0;sleeping;true
2021-05-22T23:00:00.0;2021-05-22T23:15:00.0;0;sleeping;true
2021-05-22T23:15:00.0;2021-05-22T23:30:00.0;0;sleeping;true
2021-05-22T23:30:00.0;2021-05-22T23:45:00.0;0;sleeping;true
2021-05-22T23:45:00.0;2021-05-23T00:00:00.0;0;sleeping;true
2021-05-23T00:00:00.0;2021-05-23T00:15:00.0;0;sleeping;true
2021-05-23T00:15:00.0;2021-05-23T00:30:00.0;0;sleeping;true
2021-05-23T00:30:00.0;2021-05-23T00:45:00.0;0;sleeping;true
2021-05-23T00:45:00.0;2021-05-23T01:00:00.0;0;sleeping;true
2021-05-23T01:00:00.0;2021-05-23T01:15:00.0;0;sleeping;true
2021-05-23T01:15:00.0;2021-05-23T01:30:00.0;0;sleeping;true
2021-05-23T01:30:00.0;2021-05-23T01:45:00.0;0;sleeping;true
2021-05-23T01:45:00.0;2021-05-23T02:00:00.0;11;sleeping;true
2021-05-23T02:00:00.0;2021-05-23T02:15:00.0;0;sleeping;true
2021-05-23T02:15:00.0;2021-05-23T02:30:00.0;0;sleeping;true
2021-05-23T02:30:00.0;2021-05-23T02:45:00.0;0;sleeping;true
2021-05-23T02:45:00.0;2021-05-23T03:00:00.0;0;sleeping;true
2021-05-23T03:00:00.0;2021-05-23T03:15:00.0;0;sleeping;true
2021-05-23T03:15:00.0;2021-05-23T03:30:00.0;0;sleeping;true
2021-05-23T03:30:00.0;2021-05-23T03:45:00.0;0;sleeping;false
2021-05-23T03:45:00.0;2021-05-23T04:00:00.0;0;sedentary;true
2021-05-23T04:00:00.0;2021-05-23T04:15:00.0;0;sedentary;true
2021-05-23T04:15:00.0;2021-05-23T04:30:00.0;0;sedentary;true
2021-05-23T04:30:00.0;2021-05-23T04:45:00.0;0;sedentary;true
2021-05-23T04:45:00.0;2021-05-23T05:00:00.0;0;sedentary;true
2021-05-23T05:00:00.0;2021-05-23T05:15:00.0;28;sedentary;true
2021-05-23T05:15:00.0;2021-05-23T05:30:00.0;0;sedentary;true
2021-05-23T05:30:00.0;2021-05-23T05:45:00.0;0;sedentary;true
2021-05-23T05:45:00.0;2021-05-23T06:00:00.0;0;sedentary;true
2021-05-23T06:00:00.0;2021-05-23T06:15:00.0;0;sedentary;true
2021-05-23T06:15:00.0;2021-05-23T06:30:00.0;0;sedentary;true
2021-05-23T06:30:00.0;2021-05-23T06:45:00.0;0;sedentary;true
2021-05-23T06:45:00.0;2021-05-23T07:00:00.0;0;sedentary;true
2021-05-23T07:00:00.0;2021-05-23T07:15:00.0;0;sedentary;true
2021-05-23T07:15:00.0;2021-05-23T07:30:00.0;0;sedentary;true
2021-05-23T07:30:00.0;2021-05-23T07:45:00.0;0;sedentary;true
2021-05-23T07:45:00.0;2021-05-23T08:00:00.0;0;sedentary;true
2021-05-23T08:00:00.0;2021-05-23T08:15:00.0;0;sedentary;true
2021-05-23T08:15:00.0;2021-05-23T08:30:00.0;0;sedentary;true
2021-05-23T08:30:00.0;2021-05-23T08:45:00.0;0;sedentary;true
2021-05-23T08:45:00.0;2021-05-23T09:00:00.0;0;sedentary;true
2021-05-23T09:00:00.0;2021-05-23T09:15:00.0;0;sedentary;true
2021-05-23T09:15:00.0;2021-05-23T09:30:00.0;0;sedentary;true
2021-05-23T09:30:00.0;2021-05-23T09:45:00.0;0;sedentary;true
2021-05-23T09:45:00.0;2021-05-23T10:00:00.0;0;sedentary;true
2021-05-23T10:00:00.0;2021-05-23T10:15:00.0;0;sedentary;true
2021-05-23T10:15:00.0;2021-05-23T10:30:00.0;0;sedentary;true
2021-05-23T10:30:00.0;2021-05-23T10:45:00.0;0;sedentary;true
2021-05-23T10:45:00.0;2021-05-23T11:00:00.0;0;sedentary;true
2021-05-23T11:00:00.0;2021-05-23T11:15:00.0;0;sedentary;true
2021-05-23T11:15:00.0;2021-05-23T11:30:00.0;0;sedentary;true
2021-05-23T11:30:00.0;2021-05-23T11:45:00.0;0;sedentary;true
2021-05-23T11:45:00.0;2021-05-23T12:00:00.0;0;sedentary;true
2021-05-23T12:00:00.0;2021-05-23T12:15:00.0;0;sedentary;true
2021-05-23T12:15:00.0;2021-05-23T12:30:00.0;0;sedentary;true
2021-05-23T12:30:00.0;2021-05-23T12:45:00.0;0;sedentary;true
2021-05-23T12:45:00.0;2021-05-23T13:00:00.0;0;sedentary;true
2021-05-23T13:00:00.0;2021-05-23T13:15:00.0;0;sedentary;true
2021-05-23T13:15:00.0;2021-05-23T13:30:00.0;0;sedentary;true
2021-05-23T13:30:00.0;2021-05-23T13:45:00.0;0;sedentary;true
2021-05-23T13:45:00.0;2021-05-23T14:00:00.0;0;sedentary;true
2021-05-23T14:00:00.0;2021-05-23T14:15:00.0;0;sedentary;true
2021-05-23T14:15:00.0;2021-05-23T14:30:00.0;0;sedentary;true
2021-05-23T14:30:00.0;2021-05-23T14:45:00.0;0;sedentary;true
