id;userProfilePK;calendarDate;sleepTimeSeconds;napTimeSeconds;sleepWindowConfirmed;sleepWindowConfirmationType;sleepStartTimestampGMT;sleepEndTimestampGMT;sleepStartTimestampLocal;sleepEndTimestampLocal;autoSleepStartTimestampGMT;autoSleepEndTimestampGMT;sleepQualityTypePK;sleepResultTypePK;unmeasurableSleepSeconds;deepSleepSeconds;lightSleepSeconds;remSleepSeconds;awakeSleepSeconds;deviceRemCapable;retro
1631822220000;4405865;2021-09-17;25920;0;true;enhanced_confirmed_final;1631822220000;1631848260000;1631829420000;1631855460000;1631821800000;1631849100000;;;0;540;18060;7320;120;true;false
1631919000000;4405865;2021-09-18;26460;0;true;enhanced_confirmed_final;1631919000000;1631945760000;1631926200000;1631952960000;1631914860000;1631950860000;;;0;4260;16560;5640;300;true;false
1632002040000;4405865;2021-09-19;26580;0;true;enhanced_confirmed_final;1632002040000;1632028740000;1632009240000;1632035940000;1631999400000;1632028620000;;;0;2880;14100;9600;120;true;false
1632085620000;4405865;2021-09-20;26280;0;true;enhanced_confirmed_final;1632085620000;1632112380000;1632092820000;1632119580000;1632085200000;1632112260000;;;0;1740;15540;9000;480;true;false
1632171240000;4405865;2021-09-21;42540;0;true;auto_confirmed_final;1632171240000;1632214260000;1632178440000;1632221460000;1632171240000;1632214260000;;;0;24900;17640;0;480;true;false
1632260400000;4405865;2021-09-22;23340;0;true;enhanced_confirmed_final;1632260400000;1632284280000;1632267600000;1632291480000;1632259860000;1632282060000;;;0;3300;15720;4320;540;true;false
1632344400000;4405865;2021-09-23;27120;0;true;enhanced_confirmed_final;1632344400000;1632371820000;1632351600000;1632379020000;1632343680000;1632371640000;;;0;2700;16740;7680;300;true;false
1632429240000;4405865;2021-09-24;28020;0;true;enhanced_confirmed_final;1632429240000;1632457440000;1632436440000;1632464640000;1632428700000;1632454560000;;;0;2160;15660;10200;180;true;false
1632521580000;4405865;2021-09-25;25920;0;true;enhanced_confirmed_final;1632521580000;1632547560000;1632528780000;1632554760000;1632520560000;1632547500000;;;0;1740;16740;7440;60;true;false
1632604860000;4405865;2021-09-26;29520;0;true;enhanced_confirmed_final;1632604860000;1632634500000;1632612060000;1632641700000;1632597720000;1632626460000;;;0;3960;17160;8400;120;true;false
1632689580000;4405865;2021-09-27;27600;0;true;enhanced_confirmed_final;1632689580000;1632717540000;1632696780000;1632724740000;1632689220000;1632716760000;;;0;2280;18300;7020;360;true;false
1632772140000;4405865;2021-09-28;26340;0;true;enhanced_confirmed_final;1632772140000;1632798720000;1632779340000;1632805920000;1632776880000;1632799380000;;;0;1920;18480;5940;240;true;false
1632859440000;4405865;2021-09-29;25440;0;true;enhanced_confirmed_final;1632859440000;1632885120000;1632866640000;1632892320000;1632858780000;1632886080000;;;0;2160;16380;6900;240;true;false
1632948480000;4405865;2021-09-30;26280;0;true;enhanced_confirmed;1632948480000;1632974820000;1632955680000;1632982020000;1632948420000;1632991860000;;;0;2520;16800;6960;60;true;false
1633028640000;4405865;2021-10-01;29100;0;true;enhanced_confirmed;1633028640000;1633057920000;1633035840000;1633065120000;1633029120000;1633054920000;;;0;2400;19380;7320;180;true;false
1633125600000;4405865;2021-10-02;25320;0;true;enhanced_confirmed;1633125600000;1633151580000;1633132800000;1633158780000;1633125180000;1633152240000;;;0;840;16680;7800;660;true;false
1633206840000;4405865;2021-10-03;32400;0;true;enhanced_confirmed;1633206840000;1633241100000;1633214040000;1633248300000;1633206720000;1633239660000;;;0;3540;18540;10320;1860;true;false
1633297860000;4405865;2021-10-04;26820;0;true;enhanced_confirmed;1633297860000;1633326360000;1633305060000;1633333560000;1633297320000;1633326120000;;;0;3120;16800;6900;1680;true;false
1633380360000;4405865;2021-10-05;28140;0;true;enhanced_confirmed_final;1633380360000;1633410000000;1633387560000;1633417200000;1633379220000;1633410000000;;;0;2160;18360;7620;1500;true;false
1633464600000;4405865;2021-10-06;32640;0;true;enhanced_confirmed_final;1633464600000;1633497900000;1633471800000;1633505100000;1633464240000;1633499760000;;;0;1080;21240;10320;660;true;false
1633552500000;4405865;2021-10-07;32880;0;true;enhanced_confirmed_final;1633552500000;1633585680000;1633559700000;1633592880000;1633552140000;1633584960000;;;0;2820;20340;9720;300;true;false
1633639140000;4405865;2021-10-08;32160;0;true;enhanced_confirmed;1633639140000;1633671780000;1633646340000;1633678980000;1633638660000;1633671660000;;;0;960;18780;12420;480;true;false
